V1	V2	V3
Locus10	0.108910839721414	NA	NA
Locus10000	0.833158533887926	NA	NA
Locus10001	0.744018114770384	NA	NA
Locus10002	0.142501994510601	NA	NA
Locus10009	0.544574226951814	NA	NA
Locus10013	0.0269131782268436	NA	NA
Locus10018	0.354057340911739	NA	NA
Locus10019	0.218042415804111	NA	NA
Locus10020	0.148704755501521	NA	NA
Locus10021	0.0764747391445898	NA	NA
Locus10024	0.0343958955859001	NA	NA
Locus10026	0.976175623433463	NA	NA
Locus10040	0.325659277990537	NA	NA
Locus10044	0.706783986738027	NA	NA
Locus10046	0.0644416969726131	NA	NA
Locus1005	0.21116055806021	NA	NA
Locus10051	0.39707844808019	NA	NA
Locus10054	0.188062858816873	NA	NA
Locus10057	0.658183557019658	NA	NA
Locus10059	0.254533225662036	NA	NA
Locus10063	0.467804808683209	NA	NA
Locus10067	0.67048942295232	NA	NA
Locus10075	0.0813122383133248	NA	NA
Locus10078	0.0112892100488568	NA	NA
Locus10080	0.46316059051057	NA	NA
Locus1009	0.466550757913379	NA	NA
Locus10093	0.899810329077367	NA	NA
Locus10098	0.0396157390238967	NA	NA
Locus10100	0.531529300615012	NA	NA
Locus10106	0.00667554983560942	NA	NA
Locus10108	0.552433614472286	NA	NA
Locus10113	0.985028479924323	NA	NA
Locus10116	0.339319266248675	NA	NA
Locus1012	0.543363184939449	NA	NA
Locus10121	0.0170043490198892	NA	NA
Locus10124	0.983937483836855	NA	NA
Locus10128	0.295159323072388	NA	NA
Locus1013	0.00255535751336357	NA	NA
Locus10139	0.38788144808669	NA	NA
Locus1014	0.63403099663972	NA	NA
Locus10140	0.0926789000110876	NA	NA
Locus10142	0.503790825450308	NA	NA
Locus10146	0.797487791336797	NA	NA
Locus1015	0.0425955104898453	NA	NA
Locus1016	0.315487494764209	NA	NA
Locus10163	0.163412129668054	NA	NA
Locus10169	0.00198608706144507	NA	NA
Locus1017	0.338244934392896	NA	NA
Locus10173	0.273452558168474	NA	NA
Locus10175	0.0665461488517681	NA	NA
Locus10176	0.000970015624769188	NA	NA
Locus10177	0.0966697944232043	NA	NA
Locus10183	0.24650904557317	NA	NA
