V1	V2	V3
Locus10	0.0566891882519068	NA	NA
Locus10000	0.840659408521942	NA	NA
Locus10001	0.580417177727177	NA	NA
Locus10002	0.166169496228944	NA	NA
Locus10009	0.345037573050725	NA	NA
Locus10013	0.00380809122428091	NA	NA
Locus10018	0.386854777241308	NA	NA
Locus10019	0.217919193154123	NA	NA
Locus10020	0.0230265501125965	NA	NA
Locus10021	0.127393826803936	NA	NA
Locus10024	0.0149645268203592	NA	NA
Locus10026	0.987630729377864	NA	NA
Locus10040	0.518064623864246	NA	NA
Locus10044	0.532693599964101	NA	NA
Locus10046	0.243644267106083	NA	NA
Locus1005	0.312708379093916	NA	NA
Locus10051	0.413444622161561	NA	NA
Locus10054	0.092100390590357	NA	NA
Locus10057	0.699742368946596	NA	NA
Locus10059	0.345170741086066	NA	NA
Locus10063	0.52294456006779	NA	NA
Locus10067	0.454012319652961	NA	NA
Locus10075	0.144329805872532	NA	NA
Locus10078	0.00772815243053019	NA	NA
Locus10080	0.231019395117558	NA	NA
Locus1009	0.367633368860487	NA	NA
Locus10093	0.752006551375757	NA	NA
Locus10098	0.0572452559843182	NA	NA
Locus10100	0.369727416181126	NA	NA
Locus10106	0.000129384959852403	NA	NA
Locus10108	0.845369496501134	NA	NA
Locus10113	0.842589723138745	NA	NA
Locus10116	0.469716730450655	NA	NA
Locus1012	0.467820365368353	NA	NA
Locus10120	0.859419600832316	NA	NA
Locus10121	0.0095461565855186	NA	NA
Locus10124	0.534575548135708	NA	NA
Locus10128	0.115316863527622	NA	NA
Locus1013	0.0626119587507465	NA	NA
Locus10139	0.55409199011983	NA	NA
Locus1014	0.834874571273052	NA	NA
Locus10140	0.144324709142014	NA	NA
Locus10142	0.25523615950221	NA	NA
Locus10146	0.55174069054069	NA	NA
Locus1015	0.031087835563773	NA	NA
Locus1016	0.0221227712918054	NA	NA
Locus10163	0.402232469571346	NA	NA
Locus10169	0.00101129444094263	NA	NA
Locus1017	0.649405161632758	NA	NA
Locus10173	0.584153421194692	NA	NA
Locus10175	0.0487315022541592	NA	NA
Locus10176	0.00391464226393299	NA	NA
Locus10177	0.077794881700157	NA	NA
Locus10183	0.151458403901204	NA	NA
Locus10188	0.116465360249039	NA	NA
Locus10192	0.958927252051806	NA	NA
Locus10193	0.333025766281662	NA	NA
Locus10194	0.284770529591051	NA	NA
Locus10195	0.306809935729418	NA	NA
Locus10196	0.278151936833698	NA	NA
Locus102	0.44128527875972	NA	NA
Locus10201	0.0318548031383685	NA	NA
Locus10203	0.68799812679425	NA	NA
Locus10204	0.616702966133732	NA	NA
Locus10207	0.290598643832544	NA	NA
Locus10208	0.192239128088466	NA	NA
Locus10211	0.223928507008365	NA	NA
Locus10212	0.92500323004163	NA	NA
Locus10214	0.699757334873207	NA	NA
Locus10215	0.0470055990760821	NA	NA
Locus10217	0.164058984323531	NA	NA
Locus1022	0.0590066120297747	NA	NA
Locus10221	0.561880317675446	NA	NA
Locus10226	0.420127775450539	NA	NA
Locus10228	0.149014293521328	NA	NA
Locus10229	0.790929288390022	NA	NA
Locus10232	0.24839619633582	NA	NA
Locus1024	0.558320009374133	NA	NA
Locus10240	0.244575450442961	NA	NA
Locus10241	0.610835997634163	NA	NA
Locus1025	0.475416504862353	NA	NA
Locus10257	0.83921110675553	NA	NA
Locus10258	0.892568456258128	NA	NA
Locus10260	0.47050067175398	NA	NA
Locus10262	0.373428882328748	NA	NA
Locus10264	0.258772095281145	NA	NA
Locus10267	0.00549076609909517	NA	NA
