o1	o2	o3	t1	t2	t3	v1	v2	v3	p1	p2	p3	j1	j2	ja
Locus20	-0.345534391078603	-0.295840792871365	-0.276611095591348	-0.317072999262742	-0.265533814324096	-0.438833600717136	-0.217138050446732	-0.315191201951962	-0.068037138579478	-0.106821337716012	-0.349115073002342	-0.211348075557683	0.629820882863868	0.320987607219521	0.669436177502282
Locus31114	-0.242998484786983	-0.251158995226962	-0.506601077156592	-0.454678421978851	-0.171568775394118	-0.613249058751428	-0.715372859953458	-0.512663306499231	-0.532470380586161	-0.1122223991882	-0.760252050226351	-0.474133847752771	0.525804615491627	0.78698997307613	0.931062077198011
Locus24874	-0.214769638939304	-0.126647111751975	-0.114215494839916	0.010304334501883	-0.172840445722224	0.107808817812654	0.0993349949691009	0.183986307546014	0.0195731579301646	-0.0265067396363248	-0.0688253151558389	-0.105486522813327	0.523547810722749	0.896239865695313	0.698017148860893
Locus13431	-0.404504483944301	-0.305286590393578	-0.438250684426533	-0.259756465349545	-0.492228122722103	-0.3933122081421	0.0598142277494598	-0.11454786832882	-0.389362395281731	-0.146986873115373	-0.407920878781565	-0.539483410267935	0.464745395184692	0.649598962175772	0.905560103073138
Locus30824	-0.319636909935348	-0.159151678397844	-0.395003301509924	-0.509272958497678	-0.304887672198737	-0.377701627266726	-0.294443522493988	-0.278554557535268	-0.3080605453284	-0.226763007142394	-0.438283379701892	-0.020346208726889	0.32732187468578	0.256705990643708	0.292848789541189
Locus31872	-0.0367093234488796	-0.558300319207006	-0.359201918964346	-0.1659181204651	-0.205901469848719	-0.243182666461143	-0.363040600277218	-0.352646580631791	-0.548544167944764	-0.0130130352910425	-0.489757835285252	-0.388103130648851	0.659191788337309	0.56144404084754	0.41123102693681
Locus4682	-0.547083149188009	-0.348749354403299	-0.402140408959902	-0.334054834834158	-0.245702548688491	-0.47739967203166	-0.162861588563207	-0.229669728285228	-0.873426408584341	0.0128431663616291	-0.386767591640447	-0.317970289524281	0.415191218109675	0.74073939057703	1.14853858383189
Locus10176	-0.446900484093406	-0.41464758652456	-0.314692525266494	-0.410374947897235	-0.192354628064717	-0.679483527142587	-0.299072204614969	-0.342205318019259	-0.699194820544719	-0.0203689397985237	-0.318014671354617	-0.339541386229811	0.289849829066492	0.655354479694148	1.07619868556716
Locus41377	0.244616070394217	0.230111302641575	0.558684850281271	-0.053465680114098	0.344419890879006	0.138394135617045	0.0556985176099039	-0.0335408610564481	0.134876793653796	0.212950389966128	0.160241750046355	0.514294113011472	-0.53645352085085	-1.27670665703293	-0.677792925025185
Locus35370	-0.195533359801368	-0.0585489063572205	-0.268034436524228	-0.410044563315954	-0.751141220410139	-0.0178622072641934	-0.0751169777015891	-0.0363138379798919	-0.566635799874704	-0.173109323477092	-0.298189666154941	-0.558725302867355	0.802519731464478	0.72544390038475	0.560357556696683
Locus32048	0.488701251350184	0.288324880967755	0.507548084880808	0.719707729334927	0.313710616458607	0.262601828301737	-0.159170667198721	0.286267360981624	0.437633057640653	-0.170587033939658	-0.119287202296834	0.480369583234648	-0.914460663976126	-1.23867088910855	-0.707446406553133
Locus1185	-0.558058777729773	0.117351500307546	0.0858990003404611	-0.395892286471295	-0.00062133138885399	-0.507982765847009	-0.280053330294092	-0.216478443359546	-0.273567056492729	-0.0806208382703413	-0.269910189468264	-0.228716951361545	0.634455200702626	0.614030203983263	0.623865799791871
NODE_380857_length_147_	0.251223604820454	0.510835832544331	0.58117443602771	0.618043507709297	0.249951783803752	0.372599763500665	-0.312572651787015	0.0161484216737129	0.343216596034522	-0.201041662433859	0.294246832362441	0.221994973925708	-0.827124023381036	-0.891179475236628	-0.902895032434027
Locus26545	0.451926726393465	0.370795552585239	0.368321635265188	-0.29153719494085	-0.079905314006217	0.438637317201701	0.10850980149306	0.119917303740833	-0.0130449667003352	0.484696203436595	0.0419533532791114	-0.217474495254797	-0.910212905199807	-1.53956046671982	-0.804027402633182
Locus20365	-0.315880183734303	-0.582561953099287	-0.618441497516439	-0.447588309024248	-0.244064456257433	-0.299621199475926	0.132363120450459	0.045931237971188	-0.419539251980206	-0.185282022390853	-0.354477704959907	-0.457818866345863	0.427038905074818	0.693082393788603	0.650405225009487
Locus38095	-0.344009200354576	-0.148822329923414	-0.000368857974438575	-0.328242974161089	-0.133373894025233	-0.617661809538611	-0.648925507175662	-0.0901932208626575	-0.369536731151354	-0.0729580594822213	-0.373690131245722	-0.292327863348987	0.464640465245935	0.433672208739413	0.778936825336972
Locus33514	-0.304583865884435	-0.212121102841828	-0.518012883275202	0.00224792099908799	-0.0856794491072615	-0.733801692191368	-0.361328610386205	-0.209246409064887	-0.210751702011849	-0.0674947722133781	-0.209042381418257	-0.158097326956892	0.608448816641275	0.374236770327261	1.01529476979876
Locus29964	0.17363580011539	-0.186436844753908	-0.100254023457515	-0.280984029555716	-0.186488063841875	0.0065691112245306	0.0458872158000903	-0.0389474495086312	-0.209800693513185	0.211155696088538	-0.0461538400441519	-0.416749112330582	0.457376549281916	0.865805532303066	0.651833786042221
Locus19535	-0.237443987017031	-0.1553069402821	-0.0790475761217447	-0.117004093167688	-0.334235590050642	0.08809026224944	-0.12840616462216	-0.141668593820419	-0.233291320536505	-0.236864195761863	-0.0927589069999551	-0.310404398357693	0.373976596342111	0.294436932407282	0.177543114871107
Locus8561	-0.43381280758737	0.0780271948767158	-0.242455552738586	-0.105770700707745	-0.164108261678062	-0.111800162006589	-0.437894361167958	-0.295390874462825	-0.464110917599133	-0.1400551890989	-0.529521304333086	-0.486442133124976	0.387377163743174	0.365038181160982	0.567276222138811
Locus9858	0.975097325777461	0.19129833278361	0.261974933773275	0.209675582281738	0.168371645171699	0.096478159703791	-0.411737519334909	0.307341232883565	0.729123811661907	0.633657416927462	0.676094321874614	0.880222734061712	-0.925315531481987	-1.33917902170987	-0.956203791325462
