Locus11722	Locus12061	Locus1216	Locus12354	Locus12534	Locus12782	Locus1304	Locus13133	Locus13263	Locus13431	Locus13523	Locus13953	Locus1404	Locus14294	Locus15409	Locus15921	Locus15942	Locus15973	Locus16026	Locus17297	Locus18119	Locus18615	Locus18662	Locus20132	Locus20407	Locus20647	Locus21463	Locus2162	Locus2170	Locus2223	Locus22403	Locus22719	Locus23275	Locus23293	Locus2366	Locus2420	Locus24214	Locus24647	Locus2480	Locus24874	Locus2492	Locus25526	Locus25673	Locus26014	Locus26253	Locus2642	Locus26643	Locus26759	Locus26988	Locus27	Locus27119	Locus27306	Locus27390	Locus27908	Locus28316	Locus2838	Locus28623	Locus29241	Locus29337	Locus30008	Locus30281	Locus30875	Locus32011	Locus32298	Locus329	Locus33422	Locus33600	Locus34610	Locus34982	Locus35096	Locus35329	Locus3535	Locus3552	Locus35816	Locus35893	Locus36178	Locus36280	Locus36465	Locus36511	Locus36616	Locus369	Locus37649	Locus37729	Locus3791	Locus38005	Locus38117	Locus3843	Locus38733	Locus39936	Locus41179	Locus41393	Locus42044	Locus42636	Locus4691	Locus4844	Locus5075	Locus5213	Locus5244	Locus600	Locus6568	Locus7	Locus7199	Locus7577	Locus7928	Locus7990	Locus8036	Locus9414	Locus9568	NODE_117052_length_199_	NODE_126300_length_228_	NODE_153482_length_253_	NODE_175269_length_307_	NODE_258157_length_189_	NODE_261079_length_488_	NODE_321421_length_71_	NODE_33188_length_195_	NODE_348568_length_193_	NODE_3800_length_96_	NODE_438658_length_189_	NODE_445914_length_265_	NODE_4820_length_75_	NODE_9059_length_105_	NODE_95951_length_248_
o1	1.39475425001798	-4.51928893689303	-2.13754628785277	-5.89103884783325	-1.73063158064895	1.12701973562465	-2.57226572088601	-3.05429106244594	-2.47025840089344	-1.42435242789488	-2.38712735926917	-2.96791950557926	-3.01441465063598	-1.67350737099571	-0.668137412646926	-3.67000455643043	-1.59053075742648	-0.821511653393213	-2.8789171401582	-2.73781108912404	-2.31945708066357	-0.0724123713110325	-0.899273840171849	-2.02657105812332	-1.87142691549602	-2.5124087710078	-1.30438400236723	-3.7037762558574	-1.42827124884901	-1.42291519802261	-2.10927158285702	-0.839894095801846	1.61612850947175	-1.76472708711655	1.34793886396177	-0.800888610873151	0.837080597662085	-1.81023817816731	-3.21456251630863	-1.2236454808099	-1.43263639951696	-2.82316718248009	-1.84843163398374	-3.21700915347676	-2.27268874977583	-5.00649097985981	-1.05367060720326	-1.16292952397741	-2.90035420302604	-3.013143152245	-0.865877003283438	-1.16024490350672	-1.43858841563556	-1.47303715414725	-1.08874138714655	-4.14172487341021	-1.14193578955376	-2.03653170871647	-2.20875402982239	-3.26540717909879	-2.90639319607939	-0.25926701251138	-0.941638867365882	-1.27987793326042	-1.41087406859029	-3.04446144084033	0.819117883704628	1.03577886759637	-1.3603559104555	-2.76056940128922	-3.78369966985899	-1.18900521221961	-4.0413991674186	-3.40242644250093	-3.37565391464097	-1.65802629070438	-2.94783373836686	-3.03018592572061	-1.24381666727026	-1.98828137231178	-2.86339678594405	-3.29139364737758	-3.08905852341627	-1.27960178197839	-2.13750370382982	-2.44928295449399	1.23114933834155	-3.5538585301332	-1.07715338459027	-2.61930839440336	-2.21881941459324	-1.82884078401961	-0.754407858146284	0.530066324144408	-1.78226248773564	-1.45281813125081	-1.4670752050773	0.598892541724877	-1.03835652515167	-3.38298097096377	-2.72355082480361	-2.59221604022048	1.0955585022701	-1.49408932441239	0.183908744638231	-2.38724223879922	-1.54669452197545	-0.707723312127946	0.910854281991353	-3.28359001494773	-2.27914161812186	-2.43348137987363	-1.05764290009514	-2.79759574715783	-1.7433463109314	-2.82008562622202	-0.384145805138372	-1.28125417106217	-1.76947066929767	1.62411031480993	-1.57909054724619	-1.15722515905181	-1.52053423156338
o2	1.76717142607131	-2.40144076063276	-2.73082471104305	-4.91793268111744	-1.33068577731609	1.21890982542828	-3.01400410230497	-5.58350380882391	-4.05272361223451	-0.944373499460426	-3.37334798955909	-6.43789459202254	-3.73986877953259	-1.86794742356735	-0.848063779121331	-4.62617053852334	-2.83552093529897	-1.36877685597615	-5.32551920061338	-2.48570636264555	-2.36051285884616	-0.0428009885477005	-2.22707053262419	-2.82513171083693	-1.70911441528579	-3.01572563334012	-1.21786520241824	-6.23599168595091	-1.00115310976033	-1.30708003619844	-0.955224895008669	-1.59050910592534	1.54113501249368	-1.60136375918709	1.2429330120166	-1.18380369390414	0.978661186170154	-1.19950138654736	-4.76757887866759	-0.490487406658493	-0.94107029600834	-2.31911739573316	-2.06427447949611	-3.61573627179156	-3.71580871623545	-5.22036607857559	-1.07621822074325	-1.18515595295308	-3.94307301965991	-6.11368912823117	-0.968920602826064	-0.863219329942326	-1.01868294769909	-0.869580962326171	-1.40474790857329	-5.60022884273171	-1.66181953840016	-2.53905932040757	-3.58876516740292	-2.31924391541491	-3.83485823829636	0.305010809058767	-1.56218890611604	-1.4183818094043	-1.08198748645133	-2.83777692581886	1.06585787268622	1.29977807318753	-1.38153643392903	-3.03458487277429	-5.7405369099958	-0.835026959186566	-6.12362852223974	-4.90277181429233	-2.64694834012963	-1.46960399727261	-3.56074601703977	-3.7372369446352	-1.32357786946855	-2.53395497683548	-4.4618744316124	-2.15455365774405	-3.85873715695925	-1.60576153855382	-4.39141562062517	-4.35853937324314	1.39138961733702	-3.9799820652107	-1.6170547825599	-4.17741837714811	-2.1867257978094	-1.81676037665664	-1.73881039087093	0.325974367086499	-0.83858860125815	-2.07342148931752	-1.78972227113014	0.562289453435428	-0.788636390882536	-3.3034418370713	-3.61826944831033	-1.44618853239426	1.60755484681079	-1.93476978394691	-0.927129500650873	-3.65719843225447	-0.516716312110943	-1.0152594123285	0.74376609242309	-3.5924038909401	-3.23632905241177	-2.69653116899232	-1.63667779067392	-2.8868539721177	-1.29682094381342	-3.34868864589733	-1.09966819847904	-0.848746466059273	-2.49917972352997	1.58972395731496	-1.07150564421315	-0.787446111554924	-1.9109399700448
o3	1.9741012630069	-3.93311920622547	-3.19970051828039	-3.62042797468994	-1.08634163077141	1.70037109323345	-2.31307474245714	-4.00528109294805	-3.52248588920367	-1.46154254823018	-3.09323050579825	-4.65234701746239	-2.87806716143012	-1.73462189329433	-0.308039007040198	-2.98621637398371	-2.34242247395371	-0.692115369312182	-3.6890381825277	-3.15764630177806	-1.87191482962744	-0.404880432926964	-1.76222607848801	-3.88809214674511	-1.73233137411676	-3.85162305625972	-1.65590734435433	-4.78727901025736	-1.27318988150035	-1.66990623704603	-1.68755834218824	-1.73157637338897	1.31015888824464	-1.99325182599313	1.40415047903754	-1.9296349767506	0.452774204709606	-1.06316040795891	-3.96497223580017	-0.448800625257131	-1.65646465858753	-3.06620424744345	-2.44443823371811	-1.52322846136776	-3.38388975318025	-3.78810118460606	-1.54155310680574	-0.654372077179419	-3.01004743587652	-5.35264756626124	-1.17737599194693	-1.2057245017219	-1.01069284667779	-2.20545983799166	-1.14606100984847	-4.55145654599114	-1.21812142106524	-2.33674037735664	-3.06305567154646	-2.74124761755096	-3.10828783809424	-0.257141818799358	-1.62555399566026	-1.04762129106573	-1.25932538501858	-2.48861604225999	1.23458821095285	1.33808940019161	-1.27299376134007	-2.55234050636914	-4.30218725061533	-0.888768035877274	-4.45864201749546	-4.14587122499059	-2.28415795269209	-2.87060931448949	-2.41089231009755	-2.15482499284145	-1.77017232560966	-2.22634145279693	-2.67160800320631	-2.44559711245588	-3.34867193628827	-1.08398579915244	-3.62962182679445	-3.05247459755116	1.62846457235381	-2.71934363309813	-1.30975936530782	-2.61772344459974	-2.23971915911817	-1.86339858606458	-1.82105689504933	0.538969249289527	-1.36528780511121	-2.95216952128107	-2.08594798617571	0.453117825372273	-1.31409257394964	-2.97539342277245	-3.3696408687839	-1.56895388212124	1.56505222323733	-2.31331695431312	-0.208705608901631	-2.3030249292161	-1.07468136482266	-1.44398391998851	0.726307936484048	-2.81702123102979	-2.5056366206348	-2.26942721339868	-1.82255878478575	-3.57661121114771	-1.61668294622622	-3.13177729800875	-0.330293431868348	-1.11638335011883	-2.61382192843415	1.41777113382286	-1.25140735713499	-1.12702101126027	-1.48061165970948
t1	1.03915878973219	-1.09298383319061	-0.479369018752692	-1.55831142717463	-0.297227833920876	1.20128274218774	-2.58784649230425	-0.749372984785857	-0.23690588019918	-1.03980481418619	-1.60431224059941	-1.17308549569296	-0.345922695374607	-0.793441662625911	-0.176865863195199	-0.813115438433619	-1.11305053087986	-1.97991453377533	-0.600648738517456	-1.63820642996302	-0.71426964813319	-0.0382904251121815	-0.411866608813101	-0.557461397126119	-0.665875669598239	-1.36896641905958	-0.69042983333826	-2.1266909928943	-0.19562710853044	-0.160660833920693	-0.378771053096371	-0.3221448387665	1.08980380446803	-0.354680591027129	1.0017400513375	-0.134023253894668	0.0827915951287805	-0.649399263878175	-1.47347227388755	-0.14651987577905	-0.0857252586921125	-0.662963854672191	-0.081688814113416	-0.888791362446839	-0.612225184899328	-1.61574133863649	-0.662976451390806	-0.494384428388197	-1.13731531773909	-0.925820773561922	-1.33084079133398	-0.260391486262296	-0.062482765634045	-0.461082587595884	-0.372615718959452	-1.25698206261049	-0.167746652604125	0.655102735106988	-0.309192128568611	-0.86652549897836	-1.98569985484179	-0.58332686118998	-0.722741333232976	-0.383903722403909	-0.350324327461495	-0.889243249189773	0.619192586299142	1.08152937613996	-0.591243564064279	-0.983615096840174	-1.55902138790983	0.04802949293706	-0.714176208899395	-1.02494987379288	-0.755866975535761	0.553669347369591	-1.3097854178618	-1.73539756555622	-0.859861712207909	-0.444971951182876	-1.3293189360517	-0.418305275376918	-1.53803373784749	-0.391313675416298	-0.849153493708091	-1.21544522989948	0.644107344151353	-0.816822132322897	-0.399264350688279	-0.60301260889954	-0.85365811972489	-0.307738687705415	-0.572932934865457	-0.0600108510536659	-0.0126446696559262	-0.107788636198884	-0.593922431038591	0.620944420135126	-0.0393688751956954	-1.87006081205254	-0.866782180693014	-0.0591129145744755	0.683806270510882	-0.368454846493398	-2.38386903094809	-1.32449120953277	0.220969138295126	-0.938129768469158	0.200662146451992	-2.08308579826705	-1.20451400965827	-0.985407680726551	-1.03611265668869	-1.83429961262598	0.083924151193214	-0.341364246624218	-2.33081941330992	0.206906701411713	-0.572597082741731	0.689130871079206	0.185383903392325	-0.150872165809496	0.433763396302153
t2	0.224193525089715	-0.42151801992984	-0.0723456251813686	-0.164075763961618	0.016894148471158	0.081994513602959	-4.5489041576461	-0.309460207547137	-0.378585659925661	-0.418161609974379	-0.107521318075738	-1.07688231403622	0.666892795349003	-0.123972184135131	-0.306036763504578	-0.600305976732225	0.178328276771955	-1.74947130207158	-0.375249087320911	-0.935767333004468	-0.581360978143189	0.138720798279124	-0.045387786575535	-0.617801588015275	-0.412456539636092	-0.381839266189587	0.126290417997947	-1.36170968919261	0.0104175903866452	0.101579620615998	-0.0388942623043614	-0.0766616883365731	0.260866636846651	0.0437034227198939	-0.329722230616341	0.16611087477582	-0.017770006098006	-0.122288426068747	-0.0192987463403682	-0.175794845975621	-0.067696732215542	-0.40322385127794	0.045598110401052	-0.493084133184143	-0.244129941911015	-1.24466701489523	-0.4233984846987	0.162413772693572	-0.519529727404236	0.139896694998948	-0.480654167020048	-0.091790179734947	-0.0559287673331755	-0.242421093827158	0.0819396213803975	-0.439704783516103	-0.174124301829001	-0.081402471668496	-0.468340805017816	-0.743341009701516	-0.757689624271926	-0.100374730228152	-0.180154468917592	-0.281204780800007	-0.265173753873134	-0.110462853595125	0.40041792613352	-0.236494505857428	0.0214713185252366	-0.0662383736316499	-0.329890482962116	-0.215391149367303	-1.73355900988777	-1.13695603767275	-0.458132349538987	0.423026949555194	-0.532022318410199	-0.203518191994558	0.189340031364163	0.296335759277235	-0.779276251481998	-0.145332244802462	-2.12847674541262	0.0850122656733099	-0.617334645989573	-0.924940465789044	0.30566825635081	-0.742492287208592	0.392210439473669	-0.743016584196315	-0.508882500821079	-0.117901103327014	-0.0483395595424307	-0.168083831192035	0.112805697050175	0.210295551315661	-0.0347752564602851	0.0914438409571758	-0.122011263590593	-0.224204996078834	-0.554102098436422	0.0912241552091214	0.0931160657931105	-1.06459537522559	-1.74426038678011	-0.361598733521184	-0.126818319976565	-0.363375978778366	0.0962566919410475	-0.626893840392375	0.00821747081945155	-0.04464087662459	-0.663431095898269	-0.33363967763233	-0.120318784205322	-0.713796594978771	-1.10041899520794	-0.0367730702251192	0.140395134102806	0.276294155419153	-0.040434826717766	-0.0808329016172411	-0.0784692296851069
t3	0.273216932008831	-0.263080772882316	0.0360655383334803	-0.434512924269316	-0.0690312772055227	0.498799700725244	-5.71395384353013	-0.29380600279517	0.253899879211803	-0.393564232459432	-0.51590312645303	0.27075542852612	-0.810893790417875	-0.339987926791011	-0.462248706463852	-0.0398357727101295	-1.02637276189414	-2.71600089113466	-0.0626140581427999	-2.0240682075841	0.72117938280657	-0.218296811452249	-0.196548101878022	-1.63783156567913	0.202743807717275	-0.518475992359116	-0.116778575176366	-1.61486157059822	0.492942794194267	-0.0234507387332182	0.111515350325549	0.268704516482313	0.838364317101489	0.0150148426637789	0.681456441405585	-0.0080031796476534	0.061431586071532	-0.242260528734204	-1.27495948993259	0.127647407694688	-0.003499838428971	-0.150557891386938	-0.133177101718358	0.107596336089312	0.420568245473406	-0.228238754986417	-0.132765558371623	-0.119870040110008	0.12100476129843	-0.385890293368874	-0.867931879505413	0.280605769158838	-0.120613422807907	-0.297893279176057	0.16050632252383	-0.583197909858179	0.217010758074404	-0.881140331163644	0.0859270773266752	0.190942604840714	-2.81327268819127	0.016755415728842	-0.16484940811487	-0.423863628761602	-0.412023828285634	0.0627392644363503	0.351148124958246	0.84765258211849	-0.139833515422282	-0.00367000885017265	-0.668409869519919	-0.201201357673287	-0.109382727245233	0.010049668514148	0.325661767863849	0.281754839640249	-1.07326879917763	-1.00730678270001	-0.0984848034930672	-0.367230208797007	-0.325360005674644	0.0093186230671044	0.0323022406928028	-0.608220093839464	-0.118693242645692	-0.837478852828085	0.371069655578264	0.162471312970815	-0.16215200689382	-0.0987414223856917	-0.691636440712083	0.382728186782786	0.020012341658851	0.0826160460683583	0.104946496406262	0.123343902427829	0.165757943495404	0.247873820714287	0.0875930514917385	-1.66880504820617	0.0558761751964027	-0.216858987517906	0.497105840467339	-0.954260745602402	-1.33713838201385	0.0870902756428808	-0.0182339023151002	-2.06696593480603	0.314139289848394	-1.07841789301509	-0.493443862284786	0.0238802240646635	-1.24605201108073	-1.05820657413467	-0.0717214653552525	-0.315621579469121	-0.922162964017861	0.00969747082706449	-0.0849115259752476	0.376907927292053	0.00327526628200525	-0.117815358510569	-1.08158847762558
v1	0.773092734954421	-3.41878382466786	-0.333078184099058	-3.5843998032334	-0.496181592435947	0.0649682556309915	-5.86813883091378	-1.70698882335908	-1.88274538745015	0.100248700467665	-1.24985279994547	-5.05744241580465	-2.32099692687934	-1.58790343344712	-1.71885172406618	-4.38002308215246	-1.80732789199308	-2.16546741076363	-2.98257988518513	-1.19215061323783	-2.42274135200292	-1.77232282254209	-0.361795144481894	-3.69365164037037	-0.420573217820539	-0.812043456690364	-0.576645358110913	-4.60047343763202	-0.363945035489632	-0.518312238367145	-2.08544879837245	-1.21584796046071	-0.153021920229293	-0.542077690023631	0.883363591235627	-0.291015465858852	0.116446268934145	-0.224085916683147	-4.6391226159039	0.169878099524217	-0.661386068625775	-0.643899158995576	-0.384156272128938	-3.36446809663662	-2.63747751902377	-5.04952650770223	-0.242213094358292	-0.876049398458782	-1.77614132787262	-1.95788186775192	-1.50382255981618	-0.472907540074284	0.129989042667975	-0.850277343121807	-0.709402591874017	-3.00600529384671	0.313119206008949	0.113822024026466	-1.94959126061381	-0.78069219215746	-2.3315551893287	-0.572846954366281	-1.87833346438602	-0.312393780072642	-0.573530739660447	-3.69218860739713	0.111585612373116	0.331948006873679	-0.702425689818144	-3.05636365876292	-4.62031237783781	-0.59254922746298	-3.11794944383574	-4.2758013661442	-2.88540310220372	0.580850548871737	-3.12983473290448	-2.54797193560802	-0.329753329612839	-2.41772074424975	-0.940019398710769	-0.668531234135135	-5.61124356688146	-0.344956411216831	-2.91184912916248	-3.17049889083014	-0.0155198287481962	-1.52373071481661	-0.751301504354057	-3.75693660205607	-2.89393040149251	-1.70370737813931	0.520189723401707	0.0534585719739443	-0.671449346207042	-0.157651522348934	-0.971293710242187	-0.351859375161129	-0.308200409328937	-3.65760974352006	-1.61536112526505	-1.22260904430926	-0.574435812126818	0.089888951809211	-2.2404604243559	-0.675022237890655	-0.36852929005353	-2.00135827026409	0.105794076803383	-2.63147118020832	-1.57014872926025	-0.812729502223148	-3.63479956042332	-1.70318807236275	-0.111328928319435	-3.48517103824565	-1.68456380987042	-0.461694432545655	-0.552047727252547	-0.0419927755650523	-0.142359761514548	-0.334894995335614	-1.84802519746492
v2	0.436737512610494	-2.69546988947109	-1.76198266271589	-3.82942432877977	-0.610116117668759	-0.526462828031871	-3.46436976541978	-2.46010510010612	-2.08889689016685	-0.36907355270613	-1.84034220360966	-5.03259803975268	-1.99375195391725	-1.17934218099394	-0.857150919913634	-3.53769425638023	-1.51732046954447	-1.66520814156938	-3.20409530630435	-0.808281212449399	-1.57625413679106	-1.37853710680486	-0.867449685181337	-2.37588194172271	-0.144904080108216	-0.833814280198718	-0.80900150054061	-4.60322987993222	-1.18079493856523	-1.2285145269826	-1.76606555032672	-1.09218655139592	0.907349906094969	-1.09596643425951	0.771844947200038	-0.751799795650311	0.32051279408893	-0.392438515622026	-3.78369308262987	0.212363344197324	-1.23335046598551	-2.30617094685174	-1.54928276199553	-2.50341463139273	-2.40601241399	-3.85966030765283	-0.203379685477265	-0.588279978726924	-1.29580191900741	-2.34099676713025	-0.814607532329145	-0.803228702781257	0.430101408525655	-0.854611779374484	-1.04528199923001	-3.14303891684737	-0.0547174357028486	-0.489797403971909	-2.22114002661602	-1.00993775843753	-2.2623194087882	-1.04655938460163	-1.53456754863686	-0.854791201807942	-0.972146323809392	-2.79379592096187	0.656585871897753	0.715242397819233	-1.31142472176239	-4.19240706468335	-4.27433042298981	-1.0003928013733	-3.4564775123235	-3.5661293407339	-2.45643328936278	-0.0603653862976605	-2.47957056127076	-2.32437415028595	-0.809520853206497	-1.79431626882776	-2.16546367015699	-0.911054599103268	-4.08926076264413	-0.262606012959461	-2.41919989069101	-2.83577002490698	-0.441324669094263	-1.7068190777707	-1.01737624055859	-2.92265015953808	-1.74509490658363	-1.23444701760853	0.272608366757363	-0.338887000178723	-1.20303853244737	-1.09687723230785	-1.63324609616788	0.0550475381032305	-0.738989008609345	-2.57029647259008	-1.78657859819925	-1.12409468203156	0.224895303124813	-0.900747902100161	-2.58609932536419	-1.13000730105276	-0.758756872307875	-0.816581780645861	0.352359973076472	-1.59368783947629	-1.23956225847152	-1.31370227871711	-3.64402690983324	-1.40335031527734	-0.632051420063211	-2.8757487864289	-2.39708866665364	-0.950451925802678	-1.43635765813526	-0.505246738712409	-0.632859977097654	-0.90918161619766	-1.27085059157825
v3	0.564632488762215	-1.2079112055658	-1.89890676136923	-2.42976667013375	-1.0867885716416	0.244230259079448	-4.6959475625208	-2.20527353892404	-2.58910094071159	-0.586641535239355	-1.24531719023651	-3.1020140134217	-1.66619337992569	-1.11411164888897	-1.37427736556707	-2.42702640263443	-0.930774100155574	-0.512593376804053	-2.08204038434216	-1.91764637205581	-2.0822496499332	-0.889170301243359	-0.193151430946868	-2.48570855370604	-0.543805789708454	-1.00408812226575	-0.613924138092226	-3.07494869952088	-0.553519456399211	-0.47846666992297	-1.0865222572304	-0.980492187202802	0.585669539062053	-0.69219310458642	0.753966778902321	-0.712307643057829	-0.10514260133759	-0.711165041939041	-1.59575448207165	0.0155997960228097	-0.498325755489438	-1.71729823361	-0.867854598325488	-1.95846354357645	-2.74290308811035	-3.49461368401909	-0.663440147280798	-0.471727361885636	-2.06798175264212	-1.53028374315825	-1.1834902571047	-0.780829113301849	-0.165430460983903	-1.39212675478472	-0.712579433045059	-2.52884921786427	-0.3604072983687	-0.574715617904863	-1.53619287414359	-1.03269000291493	-0.202946238381597	-0.897555629987367	-1.29934488059543	0.00262240461755535	-0.325172988233624	-1.91024047131948	0.532090375747903	0.328370159506987	-0.46980579912265	-1.81716806270527	-2.49746879510198	-0.364732555359767	-2.6967538418979	-3.27150905601138	-1.86411074809983	-0.764827382239427	-1.4967770031713	-2.64876129182916	-0.567288130849055	-1.26266126940466	-1.67509372276099	-0.824449432622717	-3.40315205725936	-0.178918277501771	-2.62294059114662	-2.45264067778087	0.705185661359366	-1.60828030236249	-0.510037666524208	-2.37713747268536	-1.76915779731613	-1.33700300100797	-0.0913946295250785	-0.47178046319273	-0.421395068800625	-1.09842177612434	-0.691620566435339	-0.132471894211706	-0.74128838803775	-1.80555196470957	-1.61207531159493	-1.23276057743128	0.357652003849292	-0.635354885312619	-2.58521946242228	-1.80919152365807	-0.297389744946247	-1.44281135347802	0.681394311129876	-1.75248046607952	-0.868698254689177	-0.436684265523643	-2.05094136454207	-1.45520265913385	-0.297812314563056	-1.47516234156587	-2.3329617221104	-0.271066091943631	-0.793037180225935	0.471260106196049	-0.232590608888702	-0.465578906466475	-0.919390685722253
p1	-0.0469000950794112	0.179631612630044	-0.0704851031776993	0.0214947643227235	-0.0620249554010184	0.0047289593515494	-0.984239845464945	-0.0794713410867413	0.502984667513458	-0.127700984283908	-0.525619042543749	0.162070764139952	0.11145744534908	0.0819978677698245	-0.765904925215372	0.222199157157516	0.110750730413782	-0.640197822403294	0.409234472666096	0.278754659586453	-0.93375086048594	-0.003518598945829	-0.17198759744832	-0.263391803064381	0.278324162149876	-0.209907884984066	0.583529814506727	-0.273033645955821	-0.0319244480371309	0.229702306050467	-0.542769488534056	0.352059111939393	0.284929368962394	-0.02621609549047	-0.237740079462961	0.508385979049485	0.171919492967581	0.484599557605644	0.528573475947366	-0.023713076728834	-0.0315431260399755	-0.334010566993106	0.213930197923835	-0.493517206768405	0.661937113429902	-0.054105171836932	-0.107778280650837	-0.127459183929438	-0.273350962034524	0.523251668069541	0.279124009541431	-0.131915134354749	-0.218000446599505	-0.0300980779135405	0.321505200895359	0.734006062238535	0.0544822697916741	-0.0614245385002159	-0.0534650647813835	0.132640604709732	-0.126528106028514	-0.0335878115224604	0.311714567994677	0.0797460249502015	-0.243975263139199	0.556902963733665	0.263438447107228	-0.473607726167535	0.420759643790138	0.396391554053162	0.791988545518844	-0.368150321986821	-0.379583705832926	0.534320298934199	0.268791451115093	0.767503702565934	-0.0663043899647274	0.582044528383652	-0.0821695812392438	-0.348327595801688	-0.699816463037163	-0.0942732734005675	-0.399611727435384	0.28593527296137	0.187997760907971	0.262628228627085	0.403372250776961	-0.266951198711385	0.417007603920314	0.191487564845742	0.048487691020737	-0.531894561054569	-0.180741263945434	-0.191944181448578	0.34774022258969	0.0715528934049617	-0.0666909388356501	0.471701149430504	0.415320015584213	0.0619109459676419	0.207497006264872	0.166977104993309	0.149786268489622	0.0941348091649787	-0.554841168158577	-0.0927873232928668	0.0828154976105163	0.538996960505964	0.175535110653687	-0.348247761892071	0.558243155993493	-0.0321125339608794	0.211040005536429	-0.415023223016871	0.202852054334472	0.0767393944806035	0.0611497659435684	0.2704320281015	0.356285223272346	0.137163859149227	0.126018030120794	-0.2084424546214	0.223734607346523
