Locus12283	Locus1304	Locus13953	Locus15409	Locus18615	Locus22403	Locus23315	Locus25349	Locus26434	Locus30875	Locus32011	Locus33422	Locus35096	Locus37729	Locus41179	Locus41393	Locus4376	Locus7990	Locus8548	NODE_258157_length_189_	NODE_348568_length_193_
o1	-6.01076563184172	-2.57226572088601	-2.96791950557926	-0.668137412646926	-0.0724123713110325	-2.10927158285702	-3.71577124867239	-0.589475988288279	-4.3838559935335	-0.25926701251138	-0.941638867365882	-3.04446144084033	-2.76056940128922	-3.08905852341627	-2.61930839440336	-2.21881941459324	-3.4952415832579	0.183908744638231	-0.964705440092665	-1.05764290009514	-0.384145805138372
o2	-4.63253191478009	-3.01400410230497	-6.43789459202254	-0.848063779121331	-0.0428009885477005	-0.955224895008669	-4.98093222278314	-0.818752830864403	-3.88293391147013	0.305010809058767	-1.56218890611604	-2.83777692581886	-3.03458487277429	-3.85873715695925	-4.17741837714811	-2.1867257978094	-4.9598398617663	-0.927129500650873	-1.12843477793759	-1.63667779067392	-1.09966819847904
o3	-3.06243762021656	-2.31307474245714	-4.65234701746239	-0.308039007040198	-0.404880432926964	-1.68755834218824	-3.81178887122546	-0.943872105052259	-2.94695641621327	-0.257141818799358	-1.62555399566026	-2.48861604225999	-2.55234050636914	-3.34867193628827	-2.61772344459974	-2.23971915911817	-3.4652167874303	-0.208705608901631	-0.453488317369817	-1.82255878478575	-0.330293431868348
t1	-0.722349679599645	-2.58784649230425	-1.17308549569296	-0.176865863195199	-0.0382904251121815	-0.378771053096371	-0.580843401505028	-0.203919291444361	-1.44056083806128	-0.58332686118998	-0.722741333232976	-0.889243249189773	-0.983615096840174	-1.53803373784749	-0.60301260889954	-0.85365811972489	-0.274138775275762	-2.38386903094809	-0.184926370428636	-1.03611265668869	-2.33081941330992
t2	-0.963499997811989	-4.5489041576461	-1.07688231403622	-0.306036763504578	0.138720798279124	-0.0388942623043614	-0.825952588320039	-0.271250307291429	-0.872400941777776	-0.100374730228152	-0.180154468917592	-0.110462853595125	-0.0662383736316499	-2.12847674541262	-0.743016584196315	-0.508882500821079	-0.656711302686718	-1.74426038678011	0.0383941533191445	-0.663431095898269	-1.10041899520794
t3	0.351660821919314	-5.71395384353013	0.27075542852612	-0.462248706463852	-0.218296811452249	0.111515350325549	0.65967367549016	-0.0905852931137024	-0.0958457197650923	0.016755415728842	-0.16484940811487	0.0627392644363503	-0.00367000885017265	0.0323022406928028	-0.0987414223856917	-0.691636440712083	0.242954345297302	-1.33713838201385	-0.271745819855932	-1.24605201108073	-0.922162964017861
v1	-4.3934276849939	-5.86813883091378	-5.05744241580465	-1.71885172406618	-1.77232282254209	-2.08544879837245	-5.56530005384215	0.474162871168712	-5.27217956408222	-0.572846954366281	-1.87833346438602	-3.69218860739713	-3.05636365876292	-5.61124356688146	-3.75693660205607	-2.89393040149251	-5.37503454391378	-2.2404604243559	0.560965175035218	-3.63479956042332	-1.68456380987042
v2	-6.88252645240834	-3.46436976541978	-5.03259803975268	-0.857150919913634	-1.37853710680486	-1.76606555032672	-4.59344139710114	0.823199646942225	-3.75621556143035	-1.04655938460163	-1.53456754863686	-2.79379592096187	-4.19240706468335	-4.08926076264413	-2.92265015953808	-1.74509490658363	-4.32943394688585	-2.58609932536419	0.744222426379803	-3.64402690983324	-2.39708866665364
v3	-3.98079598624854	-4.6959475625208	-3.1020140134217	-1.37427736556707	-0.889170301243359	-1.0865222572304	-2.67252130312872	0.0831684228103372	-2.8596453383026	-0.897555629987367	-1.29934488059543	-1.91024047131948	-1.81716806270527	-3.40315205725936	-2.37713747268536	-1.76915779731613	-2.18981902265491	-2.58521946242228	0.328923449834004	-2.05094136454207	-2.3329617221104
p1	0.0753561284114932	-0.984239845464945	0.162070764139952	-0.765904925215372	-0.003518598945829	-0.542769488534056	0.139756868714818	-0.231904451209713	0.63905706267642	-0.0335878115224604	0.311714567994677	0.556902963733665	0.396391554053162	-0.399611727435384	0.191487564845742	0.048487691020737	0.619583488002702	-0.554841168158577	0.272389429425343	0.211040005536429	0.0611497659435684
p2	-2.65223263421014	-1.80274441750897	-2.22225304820483	-0.577111768973267	0.272036524352011	-0.607644104630237	-1.94908311795629	0.079250322393046	-1.79381985508737	0.0160093743272784	-0.946114176043837	-1.46064697068666	-1.37537937714208	-2.3703366354866	-1.90941634768417	-0.794382640970982	-1.69058825608487	-0.91500281891794	0.260476177571668	-1.05837458838856	-0.755850227759594
p3	-0.391468594835254	-1.79907955924137	-0.270815752106335	-0.153809201647774	0.0121637309894095	0.351951455817061	-1.12880221720753	-0.358068754344459	0.552790160293347	0.00519345214710104	-0.025768607986587	0.386568971277927	-0.374362317603959	-0.811788969758563	-0.56280865693909	-0.303614819788287	-0.952174629799188	-0.864499256365391	-0.240603452913183	-1.26071208327443	-0.130891679517879
j1	0.465362398847911	0.397877706812408	0.212419871755234	0.560090496059761	0.591855114174757	0.226222508019909	-0.36388967648944	0.230563664607277	0.269662854318256	0.639484000546596	0.852544806653426	0.751345013378141	0.0448197906679209	-0.0275670809766667	0.415496221026067	0.682804773496088	0.150281322452938	-0.15965614147772	0.422245056519276	0.775705755481482	0.832005415152506
j2	0.25321717830189	0.451885209475868	0.410716672828528	0.176566779830001	0.46400399319578	0.285719954715137	0.0618714288157968	0.460959950303277	0.395626494966559	0.501823598632898	0.749639884317592	0.583201309924873	0.885857635454554	0.0381482381589785	-0.0365306058461345	0.528290115714789	0.156139523887502	-0.198030286089955	0.0485006883022339	0.28715771239211	1.04114156509257
ja	-0.0921597800250318	1.36826917400432	0.646884324414632	0.531210889075138	0.351898935661895	0.486391959219008	-0.15876772273851	0.57826845629081	-0.520396519657333	0.549566784615087	0.687139496765117	0.108590590424172	0.272983170693851	0.488257861405359	0.598779031030746	0.600868877111717	0.189814274044706	1.28002616420491	0.379576917719739	0.936694674120174	0.268442115066834
