X	description	o1	o2	o3	t1	t2	t3	v1	v2	v3	p1	p2	p3	j1	j2	ja
Locus10176	51	oxidoreductase domain protein	-0.446900484093406	-0.41464758652456	-0.314692525266494	-0.410374947897235	-0.192354628064717	-0.679483527142587	-0.299072204614969	-0.342205318019259	-0.699194820544719	-0.0203689397985237	-0.318014671354617	-0.339541386229811	0.289849829066492	0.655354479694148	1.07619868556716
Locus1037	113	ribosomal protein s13	-0.790729212398183	-0.475255565308706	-0.974704976523021	0.130999595816101	0.0543569304935738	0.397664582798017	-0.0433145923851232	-0.330622572496848	-0.160552858368836	0.741532927083272	0.0211358211210098	0.277858642402449	0.546817004523173	0.818172014776525	0.610425551154903
Locus11722	512	rna polymerase ii elongation factor ell2-like	0.807909717606236	1.03240757565998	1.17919289860313	0.638447352116564	0.246786861459883	0.256878918321251	0.498683027798951	0.33603498947873	0.391731307968071	-0.0541471912647153	-0.252331280710062	-0.1126384849814	-0.608417096835007	-0.243351727387127	-0.196845175353206
Locus12061	624	c-type lectin 2	-0.913549097193578	-0.643425562374244	-0.835730341501889	-0.320726365075638	-0.477481279344446	-0.257185226516117	-1.5466629938191	-0.813670429388016	-0.676168932272095	0.192752819573084	-0.780820646492538	0.00188136246437851	0.672595410526613	0.572167261242767	0.654906233107006
Locus12534	758	PREDICTED: hypothetical protein [Saccoglossus kowalevskii]	-0.515729500016231	-0.403100554428594	-0.289082230296028	-0.0672579158795188	0.0252332275562045	-0.0754620588507858	-0.312917712156747	-0.259750271796677	-0.461952742313742	-0.0634630715256902	0.0918743295979704	-0.186902035784153	0.596222486366473	0.412966325154108	0.434014098604754
Locus12782	837	subfamily member 1-like	0.815513092875932	0.797941980190735	1.30748036203323	1.08956778126479	0.0907009344652386	0.509839410985016	0.0428337106843353	-0.283819804109818	0.152419434907519	0.0082236781707714	-0.0364967975407818	0.0598131945199355	-0.584809752639349	-0.702135269675052	-0.388842437178177
Locus13160	954	codakine isoform 2	0.0204039914925885	-0.113136528956547	0.104045628356071	0.0546333971233699	-0.164398557769355	-0.372343263978366	-0.664819098751829	-0.0766970728534523	-0.507819217928397	0.387109092323117	-0.213439923481614	0.0751014272625718	0.820961132684021	0.689925131391463	0.743628710884088
Locus13431	1015	adp-ribosylation factor-like protein 6-interacting protein 4	-0.404504483944301	-0.305286590393578	-0.438250684426533	-0.259756465349545	-0.492228122722103	-0.3933122081421	0.0598142277494598	-0.11454786832882	-0.389362395281731	-0.146986873115373	-0.407920878781565	-0.539483410267935	0.464745395184692	0.649598962175772	0.905560103073138
Locus14244	1318	protein phosphatase catalytic alpha isoform 1	0.629178471109277	0.577652864976221	0.47184819588039	-0.100522358731049	-0.639230101282144	0.381708425802648	-0.0106059518707492	-0.520089169824616	-0.152352822924042	-0.0972874347444083	-0.25556973205868	0.241021488945475	-1.17675949040136	-0.946947199476994	-0.950977809964961
Locus14319	1340	isoform a	0.989518972215225	0.370624050078039	0.880193695975378	0.362066832841941	0.255768619789977	0.252108422307144	0.242931057360584	0.0110284150352217	0.112988682879584	0.217276473713344	-0.20280788671252	-0.0261153858585375	-0.479875935648433	-0.384456809669964	-0.263463514592056
Locus14759	1483	g-protein coupled octopamine	-0.50398251796832	-0.215446553525037	-0.217861063368676	-0.291935054534716	-0.63408603119066	-0.953522507072449	-0.790962510525544	-0.669879731108872	-0.691254679082481	-0.426944773591108	-0.270046888182828	0.0293905330446172	0.364707390074041	0.308699940395142	0.941372365301255
Locus15973	1867	solute carrier family 27 member 2	-0.258611323434567	-0.322908642705103	-0.190093102980666	-0.451764283040754	-1.11309378554841	-1.36113020262277	-0.681278431806275	-0.406489719760916	-0.172827437208469	-0.576961685118978	-0.00776132935005501	-0.180125703244041	0.366995072004682	1.10401989537789	0.845999689566201
Locus16121	1913	cre-glrx-10 protein	0.100790930966983	-0.412957915292985	-0.415066088465512	-0.36685693279149	-0.553880708590667	-0.824707917308751	-0.222040244138355	-0.425168168573767	-0.271529364720443	-0.00400519101543115	-0.243737453784143	-0.223155267825762	0.336802326381284	0.613883410067381	0.86361254226536
Locus16236	1954	phosphatidylinositolglycan-specific phospholipase partial	-0.896021953087487	-0.784785130453652	-0.500230677042046	-0.55124267010025	-1.11948913236998	-1.60684282667057	-1.54335855780832	-0.780202900677468	-0.897911316888679	0.0896289332843684	-0.859572412577748	-0.0638411291615422	0.877628353285514	0.549145572522016	1.42610112843016
