Locus1037	Locus11722	Locus12782	Locus14244	Locus14319	Locus18662	Locus21620	Locus2223	Locus23293	Locus25673	Locus27	Locus2838	Locus28412	Locus30708	Locus32765	Locus36511	Locus37649	Locus3768	Locus38102	Locus3843	Locus39936	Locus42636	Locus4691	Locus5075	Locus554	Locus5616	Locus7577	NODE_150381_length_336_	NODE_167533_length_196_	NODE_255818_length_168_	NODE_291536_length_281_	NODE_321421_length_71_	NODE_438658_length_189_	NODE_445914_length_265_	NODE_4820_length_75_	NODE_82903_length_1385_
o1	-0.790729212398183	0.807909717606236	0.815513092875932	0.629178471109277	0.989518972215225	-0.653294838822943	-0.451836498862919	-1.39391380263565	-1.78593983475179	-1.86964799200524	-2.61417068631478	-2.65961427516506	-0.614913834096737	0.944004376569223	0.483493945245587	-0.514908504316405	-0.696626931133358	-1.22631295564531	-0.564778761179407	0.741470102629216	-0.606898073265874	-0.104296063219741	0.402822579182145	-1.49906802138205	-3.19368996133884	0.894110096772675	0.627646780864207	-0.190294821274233	-0.176363472679946	0.564692911334686	0.449236807911532	-1.77221900233122	-0.909313726041489	0.814822661451601	-1.55249950145375	0.593273463040849
o2	-0.475255565308706	1.03240757565998	0.797941980190735	0.577652864976221	0.370624050078039	-1.12536857469205	-0.411497553007061	-0.536514044509835	-0.751492419466179	-1.04075823096838	-3.21328674713846	-2.86374032558614	-0.402483434942053	0.277024238292735	0.275226818277442	-0.532474845494772	-0.679859472392325	-2.45371055942921	-0.61324890449038	0.848802759441565	-0.767654149829157	-0.42465378357094	0.279688313366192	-1.04353806073792	-3.23303859720076	0.559743867848824	0.941789529337984	-0.19413571290997	-0.331292524973078	-0.0258253881787387	0.278889852171516	-0.540519979089801	-1.25311860538149	0.707754130996417	-0.391477805342913	0.65333655042215
o3	-0.974704976523021	1.17919289860313	1.30748036203323	0.47184819588039	0.880193695975378	-0.775862765434568	-0.520610330013107	-1.23809394032945	-1.29024653831184	-1.57018756622127	-2.87949359770588	-2.36687420303944	-0.792983755976878	0.662392634679941	0.28430922777697	-0.594055826904998	-0.596909744956925	-1.92098879958654	-0.53769696854316	1.00085008243777	-0.52982968448121	-0.413467424237343	0.570869971297775	-1.89845523229519	-2.72769494213977	0.67245374526645	0.975518118163375	-0.176102028623307	-0.193433056052526	0.36769752167716	0.186792480665384	-1.15245930484782	-1.14509523620864	0.59508177913845	-0.942009366346029	0.468084903813793
t1	0.130999595816101	0.638447352116564	1.08956778126479	-0.100522358731049	0.362066832841941	-0.0869566913972847	-0.435323591156661	-0.0159761594900344	-0.238289229790406	0.0240133074442917	-0.711471253027471	-0.890691539968827	-0.0422742360641705	0.255381770696504	0.0959816714430025	-0.299313256367735	-0.083277945510584	-0.55193775015006	-0.283620635828073	0.407235567741842	-0.11130565580735	-0.105790778046108	0.133214989970059	-0.0008426656583527	-0.807276246396008	0.13620589395505	0.494475846197395	0.031968879574664	0.277876871309603	0.23523623082199	-0.434471525109916	0.213546485038615	-0.216710491958811	0.307452793827225	0.331744848754348	0.275060313772036
t2	0.0543569304935738	0.246786861459883	0.0907009344652386	-0.639230101282144	0.255768619789977	-0.0837818455708065	0.395433722888608	0.159659012576286	0.055812359859011	0.0553126582806805	0.180085306217678	-0.61941203737452	-0.11109811016346	0.0717238359639367	0.151169536360319	0.217483400089661	-0.185449303019583	-0.0509311235826919	0.0144326564322955	0.35683792266279	0.493134938901601	-0.0610744875689076	-0.238056729907783	0.284855378572352	-0.576763685715876	0.232777324120941	0.10702271217551	-0.0376757354014725	0.269062438907675	0.186489593203199	-0.425752985020182	-0.15766453840433	0.160065686037703	0.256363569626006	-0.0357494551420458	0.101515377633072
t3	0.397664582798017	0.256878918321251	0.509839410985016	0.381708425802648	0.252108422307144	-0.202975521711441	-0.103726098335501	0.0278924966098839	0.058881151814834	-0.102224674152526	-0.377687659479712	-0.59638734670103	-0.218740617394394	0.335482168254203	0.001636893023199	-0.103619800471515	0.00064778366428285	-0.580147775138596	-0.161162103559169	0.35659916677137	-0.167531676310862	0.00383946770304999	0.0822775298129702	0.174819301290856	-0.0359209028593595	0.146913879977787	0.471192709800136	0.119138279639619	0.47874395450723	0.198831766826673	-0.682632145437391	-0.028718479162517	-0.0908062314578349	0.32050712237051	0.0563794791179616	0.075965842809033
v1	-0.0433145923851232	0.498683027798951	0.0428337106843353	-0.0106059518707492	0.242931057360584	-0.248830086218705	0.313412001478964	-0.307369300627682	-0.344106320178612	-0.231965676889596	-1.40363422293502	-2.15655376760674	-0.415949996987178	0.142965039008604	0.0535227551435278	-0.225297619793473	-0.440105763170297	-1.40364450247348	-0.288451776707554	-0.0167791274924005	-0.523605152220314	0.307534196289039	0.0404452049073831	-0.059691423194624	-2.73561796062538	0.0296081977645771	-0.360457797625561	-0.125519966229161	-0.035298040029232	-0.248633056470489	-0.197536476039447	-0.0131475353699639	-0.388664419994292	-0.0105601657959576	-0.0271236985290058	0.164264639446611
v2	-0.330622572496848	0.33603498947873	-0.283819804109818	-0.520089169824616	0.0110284150352217	-0.620745680298519	-0.00295550148413606	-0.324825595782909	-0.502518143866784	-0.983890785817709	-1.8050351014767	-2.4972906989112	-0.279331698994355	0.155700319395115	-0.0965504469067346	-0.428520340620332	-0.350218962679087	-1.70502343051427	-0.222879472697806	-0.170165317444854	-0.642601115033935	0.184101515690827	-0.170586539342957	-0.545743437832526	-2.73227339845842	0.016164919554325	0.200003446375572	-0.175038387086394	-0.276570373430319	-0.279669383700203	-0.303126979243315	0.154274863529789	-1.00501400629812	-0.124200528254794	0.270877397738371	-0.187296648591133
v3	-0.160552858368836	0.391731307968071	0.152419434907519	-0.152352822924042	0.112988682879584	-0.258049637428711	-0.304933525338481	-0.107017450723369	-0.503555535620778	-0.703634676535397	-1.39672113411025	-2.31845615122224	-0.441543902301879	-0.197793248976413	0.0450925075619345	-0.458661413908618	-0.522199461176643	-1.20260832485482	-0.227321083666897	0.518834799916413	-0.470558882270219	-0.0175843004032625	-0.427205742022865	-0.904468871177924	-1.70384204903882	0.27459921668324	0.244307094808292	0.0837296969408659	-0.42420808049027	-0.0540960476849681	-0.211691206971701	-0.0185186059103848	-0.765092831499545	0.23819600366845	0.132013000313098	0.493359949114303
p1	0.741532927083272	-0.0541471912647153	0.0082236781707714	-0.0972874347444083	0.217276473713344	-0.205578320418603	-0.0427096649182424	0.324050588817863	-0.00648285767156399	0.300752295095633	0.6953049873479	0.961752690515195	0.395395185109445	-0.0530366579377865	-0.244116832582583	-0.0956206550127794	-0.117157477060561	-0.199973708271764	-0.105088071094462	0.465927338097154	0.527421450198256	-0.196037708513316	-0.232203993091718	0.11830701226086	0.953903014587526	0.404206464113633	0.173151625719453	0.2068480328825	0.241068803376021	-0.240564434089435	-0.0635576588056881	0.288782847458197	0.469289183216604	0.133066532816258	0.190953552140618	-0.529481194167814
