Locus10176	Locus1037	Locus11722	Locus12061	Locus12534	Locus12782	Locus13160	Locus13431	Locus14244	Locus14319	Locus14759	Locus15973	Locus16121	Locus16236	Locus16385	Locus17759	Locus17766	Locus18615	Locus18662	Locus20	Locus20024	Locus20173	Locus20331	Locus20365	Locus2162	Locus21620	Locus21685	Locus2223	Locus2244	Locus23275	Locus23293	Locus2366	Locus24738	Locus2480	Locus24874	Locus25673	Locus26014	Locus26105	Locus26988	Locus27	Locus27306	Locus27908	Locus2838	Locus28412	Locus30708	Locus30824	Locus30875	Locus31114	Locus31323	Locus31872	Locus32011	Locus32048	Locus3274	Locus32765	Locus33069	Locus33498	Locus33590	Locus34982	Locus35329	Locus35941	Locus36511	Locus37649	Locus37654	Locus3768	Locus38102	Locus3843	Locus39582	Locus39936	Locus40007	Locus41377	Locus41393	Locus42636	Locus4691	Locus4779	Locus5075	Locus5244	Locus5616	Locus6568	Locus7199	Locus7245	Locus7577	Locus7976	Locus8015	Locus8249	Locus8561	Locus9568	Locus9858	NODE_117052_length_199_	NODE_154647_length_149_	NODE_255818_length_168_	NODE_281354_length_272_	NODE_321421_length_71_	NODE_32726_length_151_	NODE_348568_length_193_	NODE_380857_length_147_	NODE_438658_length_189_	NODE_445914_length_265_	NODE_4820_length_75_	NODE_82903_length_1385_
o1	-0.446900484093406	-0.790729212398183	0.807909717606236	-0.913549097193578	-0.515729500016231	0.815513092875932	0.0204039914925885	-0.404504483944301	0.629178471109277	0.989518972215225	-0.50398251796832	-0.258611323434567	0.100790930966983	-0.896021953087487	0.398360682791645	-0.542564645461352	-0.502055121601553	0.01544691200213	-0.653294838822943	-0.345534391078603	0.67557085853172	-0.158472641804502	-0.335482550839648	-0.315880183734303	-2.58862096952335	-0.451836498862919	0.23878080269524	-1.39391380263565	-0.0936982809577705	0.767917639854905	-1.78593983475179	0.717565985411305	-0.100598982476683	-2.59844397237084	-0.214769638939304	-1.86964799200524	-1.25586190993301	-0.171561299064356	-1.35329116804297	-2.61417068631478	-0.516174273796869	-0.417064492658991	-2.65961427516506	-0.614913834096737	0.944004376569223	-0.319636909935348	-0.002827963696663	-0.242998484786983	-0.402511705303607	-0.0367093234488796	-0.316125518461568	0.488701251350184	0.029146998289784	0.483493945245587	-0.292639334364324	-0.336394844074577	0.0759994611175319	-0.617289228982066	-2.62420395764586	0.280394719315129	-0.514908504316405	-0.696626931133358	-0.281895348721431	-1.22631295564531	-0.564778761179407	0.741470102629216	-0.892257794134633	-0.606898073265874	0.828999886657654	0.244616070394217	-0.587065800209813	-0.104296063219741	0.402822579182145	-0.00651219420730815	-1.49906802138205	0.415532011238711	0.894110096772675	-1.41417253219746	-0.381657973122087	-0.340715017667311	0.627646780864207	-0.060823946726923	0.18344570191476	-0.184823973780213	-0.43381280758737	-0.157133561186934	0.975097325777461	0.425127586733519	-0.295507091597116	0.564692911334686	-0.169047830182732	-1.77221900233122	0.51660399490963	-0.019642526969199	0.251223604820454	-0.909313726041489	0.814822661451601	-1.55249950145375	0.593273463040849
o2	-0.41464758652456	-0.475255565308706	1.03240757565998	-0.643425562374244	-0.403100554428594	0.797941980190735	-0.113136528956547	-0.305286590393578	0.577652864976221	0.370624050078039	-0.215446553525037	-0.322908642705103	-0.412957915292985	-0.784785130453652	0.294489289557236	-0.358373775797166	-0.996489103914288	0.0451735491117655	-1.12536857469205	-0.295840792871365	0.228091435900536	-0.495511224027005	-0.349225647858647	-0.582561953099287	-3.05133257772338	-0.411497553007061	0.332507083881532	-0.536514044509835	-0.337309481365764	0.638210645549127	-0.751492419466179	0.658958709027773	-0.0668358912895665	-2.57190770628647	-0.126647111751975	-1.04075823096838	-1.52954815467344	0.35796858442283	-1.75717167852238	-3.21328674713846	-0.376779863970261	-0.309884310563144	-2.86374032558614	-0.402483434942053	0.277024238292735	-0.159151678397844	0.151596676262967	-0.251158995226962	-0.428556003348381	-0.558300319207006	-0.611154590794842	0.288324880967755	-0.415463392950331	0.275226818277442	-0.1641080071107	-0.1732603900705	0.0686367353533345	-0.612117256991257	-2.88791508355279	0.257132667764585	-0.532474845494772	-0.679859472392325	-0.429131941328093	-2.45371055942921	-0.61324890449038	0.848802759441565	-0.236369862076859	-0.767654149829157	0.168545970926319	0.230111302641575	-0.725569993540616	-0.42465378357094	0.279688313366192	0.466547861537501	-1.04353806073792	0.300176295189233	0.559743867848824	-1.50088444059847	-0.417012849888615	-0.20166419271918	0.941789529337984	-0.206253968298815	-0.300037494878035	0.220943874389668	0.0780271948767158	-0.224467788859332	0.19129833278361	0.269484317524171	-0.152260135229918	-0.0258253881787387	0.0899034171102424	-0.540519979089801	0.380223278986307	-0.283252412022477	0.510835832544331	-1.25311860538149	0.707754130996417	-0.391477805342913	0.65333655042215
o3	-0.314692525266494	-0.974704976523021	1.17919289860313	-0.835730341501889	-0.289082230296028	1.30748036203323	0.104045628356071	-0.438250684426533	0.47184819588039	0.880193695975378	-0.217861063368676	-0.190093102980666	-0.415066088465512	-0.500230677042046	0.472405473849067	-0.270043460997625	-0.985461777326219	-0.0797475173636895	-0.775862765434568	-0.276611095591348	0.396260646968128	0.0631242962267945	-0.646680583373787	-0.618441497516439	-2.35991544883578	-0.520610330013107	0.359679141503892	-1.23809394032945	-0.237092194871733	0.533108234330918	-1.29024653831184	0.718122239828755	0.0734542620376401	-2.24239083062874	-0.114215494839916	-1.57018756622127	-0.619603919023082	0.30783827271146	-1.26244715658716	-2.87949359770588	-0.363837742021815	-0.674578972631214	-2.36687420303944	-0.792983755976878	0.662392634679941	-0.395003301509924	-0.048937913653748	-0.506601077156592	-0.245978214704555	-0.359201918964346	-0.543491066054222	0.507548084880808	-0.46602184239741	0.28430922777697	-0.255858147611014	0.0559406398400409	0.029999046791398	-0.458507557289682	-2.224499119444	0.278240486399311	-0.594055826904998	-0.596909744956925	-0.137467174593818	-1.92098879958654	-0.53769696854316	1.00085008243777	-0.154352489616203	-0.52982968448121	0.400568513756667	0.558684850281271	-0.644167104956257	-0.413467424237343	0.570869971297775	0.27779545991545	-1.89845523229519	0.21757672890582	0.67245374526645	-1.2195093883582	-0.416923488293714	-0.516812465569523	0.975518118163375	-0.141381500647119	-0.177638918813752	0.367234283980375	-0.242455552738586	-0.174404099799713	0.261974933773275	0.278609075689737	-0.5488216661304	0.36769752167716	0.0767911623046822	-1.15245930484782	0.474293000389613	-0.043979154025754	0.58117443602771	-1.14509523620864	0.59508177913845	-0.942009366346029	0.468084903813793
t1	-0.410374947897235	0.130999595816101	0.638447352116564	-0.320726365075638	-0.0672579158795188	1.08956778126479	0.0546333971233699	-0.259756465349545	-0.100522358731049	0.362066832841941	-0.291935054534716	-0.451764283040754	-0.36685693279149	-0.55124267010025	0.11018902032476	-0.786315510212289	-0.177181482707579	0.0687326239638897	-0.0869566913972847	-0.317072999262742	0.26722932139224	0.148761660554555	-0.304142125434766	-0.447588309024248	-1.54990318483134	-0.435323591156661	0.218290762866597	-0.0159761594900344	-0.203534872449378	0.470107803735739	-0.238289229790406	0.585963259143812	-0.22487578448717	-1.14635037062683	0.010304334501883	0.0240133074442917	-0.407500512200615	0.253781021269379	-0.577929542400618	-0.711471253027471	0.035751289498796	-0.133723537740445	-0.890691539968827	-0.0422742360641705	0.255381770696504	-0.509272958497678	0.012989250557976	-0.454678421978851	-0.450586663363863	-0.1659181204651	-0.260320831348074	0.719707729334927	-0.645680400770243	0.0959816714430025	-0.0574690870638511	-0.09543197146428	-0.024197295138847	-0.209596298978144	-1.13271331871422	0.504831603875034	-0.299313256367735	-0.083277945510584	-0.490969280091915	-0.55193775015006	-0.283620635828073	0.407235567741842	-0.24501420539119	-0.11130565580735	-0.253578263482967	-0.053465680114098	-0.240974329035653	-0.105790778046108	0.133214989970059	0.273568753805723	-0.0008426656583527	0.340306232193234	0.13620589395505	-0.914339608258138	0.06793641903713	-0.157346248881189	0.494475846197395	0.0413535147493232	-0.299180035884415	0.211715444267739	-0.105770700707745	-0.240054448492228	0.209675582281738	0.0965680861499048	0.0216430683175051	0.23523623082199	-0.425251627413605	0.213546485038615	-0.138395353879388	-0.532668731547965	0.618043507709297	-0.216710491958811	0.307452793827225	0.331744848754348	0.275060313772036
t2	-0.192354628064717	0.0543569304935738	0.246786861459883	-0.477481279344446	0.0252332275562045	0.0907009344652386	-0.164398557769355	-0.492228122722103	-0.639230101282144	0.255768619789977	-0.63408603119066	-1.11309378554841	-0.553880708590667	-1.11948913236998	0.121140225902152	-0.133912409208029	-0.0396421051268714	0.15730543012736	-0.0837818455708065	-0.265533814324096	-0.0649846997640579	-0.120768135132436	-0.096119460852896	-0.244064456257433	-1.87185499911275	0.395433722888608	0.0377087982321679	0.159659012576286	-0.06325618856561	0.245197997439832	0.055812359859011	-0.314167445957264	-0.215815908919468	-0.0422935528584826	-0.172840445722224	0.0553126582806805	-0.664522404601409	0.155350420265186	-0.710428846857962	0.180085306217678	-0.144681767644849	-0.307547994357331	-0.61941203737452	-0.11109811016346	0.0717238359639367	-0.304887672198737	-0.097738906408029	-0.171568775394118	-0.784110412129717	-0.205901469848719	-0.237662227278555	0.313710616458607	-0.511181652818328	0.151169536360319	-0.393081750965053	0.312055081460209	0.060799844355789	0.00509627764335125	-0.470157682193982	0.0937249734021048	0.217483400089661	-0.185449303019583	-0.366665129845953	-0.0509311235826919	0.0144326564322955	0.35683792266279	-0.302320017081209	0.493134938901601	0.198666849268419	0.344419890879006	-0.605173274443034	-0.0610744875689076	-0.238056729907783	0.179651570906478	0.284855378572352	0.0897710328660824	0.232777324120941	-0.316455161004306	0.0957672531692169	-0.393336046688132	0.10702271217551	0.027658433354732	-0.750768939428656	0.171353934145068	-0.164108261678062	-0.3779976900389	0.168371645171699	0.104349612515181	0.284095654686904	0.186489593203199	-0.591521810753862	-0.15766453840433	0.045836570834968	-0.928639310413435	0.249951783803752	0.160065686037703	0.256363569626006	-0.0357494551420458	0.101515377633072
t3	-0.679483527142587	0.397664582798017	0.256878918321251	-0.257185226516117	-0.0754620588507858	0.509839410985016	-0.372343263978366	-0.3933122081421	0.381708425802648	0.252108422307144	-0.953522507072449	-1.36113020262277	-0.824707917308751	-1.60684282667057	0.324222675150089	-0.425085415840942	0.0180685162695435	-0.224676703412353	-0.202975521711441	-0.438833600717136	0.214483625897678	-0.119299544582927	0.0167828254019775	-0.299621199475926	-1.70629415183013	-0.103726098335501	0.557996669571072	0.0278924966098839	-0.316497348343237	0.68587653572238	0.058881151814834	0.635016398120229	-0.413667165650634	-1.33722068861466	0.107808817812654	-0.102224674152526	0.113468787183744	0.056343199951345	0.131867740305913	-0.377687659479712	0.289937136835299	-0.305453150932531	-0.59638734670103	-0.218740617394394	0.335482168254203	-0.377701627266726	0.014577319554548	-0.613249058751428	-0.275088686627959	-0.243182666461143	-0.171610871974757	0.262601828301737	-0.255717360018897	0.001636893023199	-0.193667316854016	-0.103505302949164	-0.100162484622669	-0.149588768341888	-0.688781643251865	0.192037531824668	-0.103619800471515	0.00064778366428285	-0.939900933119689	-0.580147775138596	-0.161162103559169	0.35659916677137	-0.38344347761523	-0.167531676310862	0.175853272665703	0.138394135617045	-0.68874978953135	0.00383946770304999	0.0822775298129702	0.206107058073736	0.174819301290856	0.219826154842904	0.146913879977787	-1.73039793877555	-0.216043593658992	-0.480023309346293	0.471192709800136	0.21017797471753	-1.32239063407795	0.139168898469279	-0.111800162006589	-1.47998030923079	0.096478159703791	0.252202960290393	0.304240574000394	0.198831766826673	-0.664985465209319	-0.028718479162517	0.210522448475501	-0.767684554302875	0.372599763500665	-0.0908062314578349	0.32050712237051	0.0563794791179616	0.075965842809033
v1	-0.299072204614969	-0.0433145923851232	0.498683027798951	-1.5466629938191	-0.312917712156747	0.0428337106843353	-0.664819098751829	0.0598142277494598	-0.0106059518707492	0.242931057360584	-0.790962510525544	-0.681278431806275	-0.222040244138355	-1.54335855780832	-0.0986921497418395	-1.21970227023604	-1.38764024468718	-1.11850537623847	-0.248830086218705	-0.217138050446732	-0.0153913924850532	-0.866620962758057	-0.437778961975825	0.132363120450459	-3.24106514507407	0.313412001478964	0.226921521146996	-0.307369300627682	-0.747652504119627	-0.0590325913375413	-0.344106320178612	0.546637617873899	-0.265757648067362	-3.32644613936796	0.0993349949691009	-0.231965676889596	-2.21032965645083	-0.461066100743561	-1.24268299190186	-1.40363422293502	-0.327732713039732	-0.578258475139392	-2.15655376760674	-0.415949996987178	0.142965039008604	-0.294443522493988	-0.300469515636592	-0.715372859953458	0.308277904052394	-0.363040600277218	-1.17749827309859	-0.159170667198721	0.101000274972206	0.0535227551435278	-0.796268480541301	-0.153372949966994	0.0149708509664895	-0.490514990416169	-3.2625341342486	0.447028703421967	-0.225297619793473	-0.440105763170297	-1.30023137581977	-1.40364450247348	-0.288451776707554	-0.0167791274924005	-0.878191166989036	-0.523605152220314	-0.351588188520994	0.0556985176099039	-1.65191764339051	0.307534196289039	0.0404452049073831	0.505411503756714	-0.059691423194624	-0.201749104457605	0.0296081977645771	-2.40242447090975	-0.714160856276377	-0.0367267347993899	-0.360457797625561	-0.0998648486160433	-0.995073329998521	0.582586041657329	-0.437894361167958	-0.828751010285225	-0.411737519334909	0.0650699203485745	-0.0428743836381708	-0.248633056470489	-0.118422926349738	-0.0131475353699639	0.106121208224794	-0.748473102923928	-0.312572651787015	-0.388664419994292	-0.0105601657959576	-0.0271236985290058	0.164264639446611
v2	-0.342205318019259	-0.330622572496848	0.33603498947873	-0.813670429388016	-0.259750271796677	-0.283819804109818	-0.0766970728534523	-0.11454786832882	-0.520089169824616	0.0110284150352217	-0.669879731108872	-0.406489719760916	-0.425168168573767	-0.780202900677468	-0.28066036082924	-0.632301730212878	-1.00771289335905	-0.704298742909193	-0.620745680298519	-0.315191201951962	0.372936254412945	-0.575792783762523	-0.308689361099844	0.045931237971188	-3.36911868856336	-0.00295550148413606	0.317633541541828	-0.324825595782909	-0.410228596879815	0.495646813757048	-0.502518143866784	0.489133293518675	-0.453982612884701	-3.0705430771802	0.183986307546014	-0.983890785817709	-1.50021042165051	-0.383726642428027	-0.933458895462065	-1.8050351014767	-0.483040761155928	-0.418583323927004	-2.4972906989112	-0.279331698994355	0.155700319395115	-0.278554557535268	-0.307698439079417	-0.512663306499231	0.474974234671203	-0.352646580631791	-0.73857826416864	0.286267360981624	-0.0845199528986033	-0.0965504469067346	-0.407410559115333	0.0244602763989095	0.124982373953653	-0.801259404857942	-3.24107130341196	0.334744744224969	-0.428520340620332	-0.350218962679087	-0.916882351844112	-1.70502343051427	-0.222879472697806	-0.170165317444854	-0.666964588152605	-0.642601115033935	-0.331329259385778	-0.0335408610564481	-0.744896250809301	0.184101515690827	-0.170586539342957	0.102626148012387	-0.545743437832526	0.100840102797098	0.016164919554325	-1.64785110920791	-0.40838067156007	-0.632503557018485	0.200003446375572	-0.0136970692378939	-0.701550568824233	0.434201994307754	-0.295390874462825	-0.27298323650559	0.307341232883565	0.151855117855343	0.0677015699681686	-0.279669383700203	-0.60526521764674	0.154274863529789	0.385104184419651	-0.619484505258862	0.0161484216737129	-1.00501400629812	-0.124200528254794	0.270877397738371	-0.187296648591133
v3	-0.699194820544719	-0.160552858368836	0.391731307968071	-0.676168932272095	-0.461952742313742	0.152419434907519	-0.507819217928397	-0.389362395281731	-0.152352822924042	0.112988682879584	-0.691254679082481	-0.172827437208469	-0.271529364720443	-0.897911316888679	0.0482781515509085	-0.638609505275765	-0.719700900319573	-0.585303702734516	-0.258049637428711	-0.068037138579478	0.2558563814895	-0.708373103523858	-0.305340849568466	-0.419539251980206	-2.75897026609541	-0.304933525338481	-0.0982460840344195	-0.107017450723369	-0.734193248824042	0.279304182770056	-0.503555535620778	0.521590966578199	-0.259169428961673	-1.46882535821937	0.0195731579301646	-0.703634676535397	-1.5546989962304	-0.262646732344947	-1.72168013999657	-1.39672113411025	-0.685579082629137	-0.919936218504541	-2.31845615122224	-0.441543902301879	-0.197793248976413	-0.3080605453284	-0.362879925129498	-0.532470380586161	0.118898130511804	-0.548544167944764	-0.850547642386845	0.437633057640653	-0.212201694940483	0.0450925075619345	-0.651448871275745	-0.134838538061493	-0.199532089449237	-0.431575092684348	-2.29714532298777	0.054561727869687	-0.458661413908618	-0.522199461176643	-0.603743210623823	-1.20260832485482	-0.227321083666897	0.518834799916413	-0.595077242636162	-0.470558882270219	0.223848748661895	0.134876793653796	-0.999416706112256	-0.0175843004032625	-0.427205742022865	0.358802660918218	-0.904468871177924	-0.0549275453527338	0.27459921668324	-1.48918423221046	-0.545953556227676	-0.275812994451736	0.244307094808292	0.348985716286544	-0.380937772666597	0.561450571140131	-0.464110917599133	-0.587210273178103	0.729123811661907	0.346691553972112	0.230114115060196	-0.0540960476849681	-0.496310506915577	-0.0185186059103848	0.491480856910154	-0.774878250412436	0.343216596034522	-0.765092831499545	0.23819600366845	0.132013000313098	0.493359949114303
p1	-0.0203689397985237	0.741532927083272	-0.0541471912647153	0.192752819573084	-0.0634630715256902	0.0082236781707714	0.387109092323117	-0.146986873115373	-0.0972874347444083	0.217276473713344	-0.426944773591108	-0.576961685118978	-0.00400519101543115	0.0896289332843684	0.365485257256791	-0.0630592732737575	0.21005667408583	0.00346184157518301	-0.205578320418603	-0.106821337716012	0.198962236319692	-0.205606178139612	0.14392703616278	-0.185282022390853	-0.326040929642893	-0.0427096649182424	-0.0205948873095219	0.324050588817863	0.216794813125232	0.28121000155178	-0.00648285767156399	-0.237018746978086	0.129207604073812	0.701202949769481	-0.0265067396363248	0.300752295095633	-0.605177897771467	0.107485604833237	-0.334406641781865	0.6953049873479	-0.157684355032023	-0.034664500995017	0.961752690515195	0.395395185109445	-0.0530366579377865	-0.226763007142394	-0.0327206957805555	-0.1122223991882	-0.0975940233920875	-0.0130130352910425	0.374069223676471	-0.170587033939658	0.108005865891242	-0.244116832582583	0.267902041445185	0.223251585057704	0.252352146059484	0.528204186795917	1.03498250198011	-0.486268761578611	-0.0956206550127794	-0.117157477060561	0.105477221180804	-0.199973708271764	-0.105088071094462	0.465927338097154	0.0410339329702336	0.527421450198256	-0.0589771714927347	0.212950389966128	0.0569501331656965	-0.196037708513316	-0.232203993091718	-0.434263840044594	0.11830701226086	0.517999666477335	0.404206464113633	0.0854703132086295	0.197133455464038	0.0189741422617845	0.173151625719453	0.389939295535558	0.573303624597891	0.336868657171849	-0.1400551890989	0.569924051647127	0.633657416927462	0.151466918768477	0.340254255803883	-0.240564434089435	0.357506618694001	0.288782847458197	-0.280003029644137	0.0673904795498372	-0.201041662433859	0.469289183216604	0.133066532816258	0.190953552140618	-0.529481194167814
