Locus15973	Locus31323	Locus3274	NODE_167533_length_196_	NODE_281354_length_272_	NODE_291536_length_281_
o1	-0.258611323434567	-0.402511705303607	0.029146998289784	-0.176363472679946	-0.169047830182732	0.449236807911532
o2	-0.322908642705103	-0.428556003348381	-0.415463392950331	-0.331292524973078	0.0899034171102424	0.278889852171516
o3	-0.190093102980666	-0.245978214704555	-0.46602184239741	-0.193433056052526	0.0767911623046822	0.186792480665384
t1	-0.451764283040754	-0.450586663363863	-0.645680400770243	0.277876871309603	-0.425251627413605	-0.434471525109916
t2	-1.11309378554841	-0.784110412129717	-0.511181652818328	0.269062438907675	-0.591521810753862	-0.425752985020182
t3	-1.36113020262277	-0.275088686627959	-0.255717360018897	0.47874395450723	-0.664985465209319	-0.682632145437391
v1	-0.681278431806275	0.308277904052394	0.101000274972206	-0.035298040029232	-0.118422926349738	-0.197536476039447
v2	-0.406489719760916	0.474974234671203	-0.0845199528986033	-0.276570373430319	-0.60526521764674	-0.303126979243315
v3	-0.172827437208469	0.118898130511804	-0.212201694940483	-0.42420808049027	-0.496310506915577	-0.211691206971701
p1	-0.576961685118978	-0.0975940233920875	0.108005865891242	0.241068803376021	0.357506618694001	-0.0635576588056881
p2	-0.00776132935005501	-0.107009840296526	-0.100429537401165	0.177373772458912	-0.312457728590135	-0.319122418895285
p3	-0.180125703244041	-0.025957834651126	-0.0800337259147103	0.312072855820675	-0.179172061718817	0.232042295757717
j1	0.366995072004682	0.381306592668617	0.442284802021553	0.119438897054626	0.638328443403964	0.1003902900407
j2	1.10401989537789	0.340647327558721	0.474125933059106	0.0765547251885595	0.830496456208057	0.143297830428624
ja	0.845999689566201	0.631782609592491	0.572795896974031	0.308182229514726	0.789987213190181	0.0154316162290086
