Locus12061	Locus13160	Locus17759	Locus17766	Locus18615	Locus20173	Locus2162	Locus2244	Locus22926	Locus2480	Locus26014	Locus26105	Locus30875	Locus32011	Locus33069	Locus35329	Locus37654	Locus39582	Locus41393	Locus6568	Locus7199	NODE_133484_length_153_	NODE_167533_length_196_
o1	-0.913549097193578	0.0204039914925885	-0.542564645461352	-0.502055121601553	0.01544691200213	-0.158472641804502	-2.58862096952335	-0.0936982809577705	-0.333559050001612	-2.59844397237084	-1.25586190993301	-0.171561299064356	-0.002827963696663	-0.316125518461568	-0.292639334364324	-2.62420395764586	-0.281895348721431	-0.892257794134633	-0.587065800209813	-1.41417253219746	-0.381657973122087	0.0973100185846835	-0.176363472679946
o2	-0.643425562374244	-0.113136528956547	-0.358373775797166	-0.996489103914288	0.0451735491117655	-0.495511224027005	-3.05133257772338	-0.337309481365764	0.0471551071223395	-2.57190770628647	-1.52954815467344	0.35796858442283	0.151596676262967	-0.611154590794842	-0.1641080071107	-2.88791508355279	-0.429131941328093	-0.236369862076859	-0.725569993540616	-1.50088444059847	-0.417012849888615	0.330693440721545	-0.331292524973078
o3	-0.835730341501889	0.104045628356071	-0.270043460997625	-0.985461777326219	-0.0797475173636895	0.0631242962267945	-2.35991544883578	-0.237092194871733	-0.218324722210146	-2.24239083062874	-0.619603919023082	0.30783827271146	-0.048937913653748	-0.543491066054222	-0.255858147611014	-2.224499119444	-0.137467174593818	-0.154352489616203	-0.644167104956257	-1.2195093883582	-0.416923488293714	0.0825791226129865	-0.193433056052526
t1	-0.320726365075638	0.0546333971233699	-0.786315510212289	-0.177181482707579	0.0687326239638897	0.148761660554555	-1.54990318483134	-0.203534872449378	-0.387317385056125	-1.14635037062683	-0.407500512200615	0.253781021269379	0.012989250557976	-0.260320831348074	-0.0574690870638511	-1.13271331871422	-0.490969280091915	-0.24501420539119	-0.240974329035653	-0.914339608258138	0.06793641903713	-0.0648295085918844	0.277876871309603
t2	-0.477481279344446	-0.164398557769355	-0.133912409208029	-0.0396421051268714	0.15730543012736	-0.120768135132436	-1.87185499911275	-0.06325618856561	-0.208704712388634	-0.0422935528584826	-0.664522404601409	0.155350420265186	-0.097738906408029	-0.237662227278555	-0.393081750965053	-0.470157682193982	-0.366665129845953	-0.302320017081209	-0.605173274443034	-0.316455161004306	0.0957672531692169	0.101360688855441	0.269062438907675
t3	-0.257185226516117	-0.372343263978366	-0.425085415840942	0.0180685162695435	-0.224676703412353	-0.119299544582927	-1.70629415183013	-0.316497348343237	-0.169628103706886	-1.33722068861466	0.113468787183744	0.056343199951345	0.014577319554548	-0.171610871974757	-0.193667316854016	-0.688781643251865	-0.939900933119689	-0.38344347761523	-0.68874978953135	-1.73039793877555	-0.216043593658992	-0.185620929400402	0.47874395450723
v1	-1.5466629938191	-0.664819098751829	-1.21970227023604	-1.38764024468718	-1.11850537623847	-0.866620962758057	-3.24106514507407	-0.747652504119627	0.380287857981608	-3.32644613936796	-2.21032965645083	-0.461066100743561	-0.300469515636592	-1.17749827309859	-0.796268480541301	-3.2625341342486	-1.30023137581977	-0.878191166989036	-1.65191764339051	-2.40242447090975	-0.714160856276377	-0.107545705626145	-0.035298040029232
v2	-0.813670429388016	-0.0766970728534523	-0.632301730212878	-1.00771289335905	-0.704298742909193	-0.575792783762523	-3.36911868856336	-0.410228596879815	0.464608314521801	-3.0705430771802	-1.50021042165051	-0.383726642428027	-0.307698439079417	-0.73857826416864	-0.407410559115333	-3.24107130341196	-0.916882351844112	-0.666964588152605	-0.744896250809301	-1.64785110920791	-0.40838067156007	0.024564968256679	-0.276570373430319
v3	-0.676168932272095	-0.507819217928397	-0.638609505275765	-0.719700900319573	-0.585303702734516	-0.708373103523858	-2.75897026609541	-0.734193248824042	0.277330971363225	-1.46882535821937	-1.5546989962304	-0.262646732344947	-0.362879925129498	-0.850547642386845	-0.651448871275745	-2.29714532298777	-0.603743210623823	-0.595077242636162	-0.999416706112256	-1.48918423221046	-0.545953556227676	-0.0855898992540135	-0.42420808049027
p1	0.192752819573084	0.387109092323117	-0.0630592732737575	0.21005667408583	0.00346184157518301	-0.205606178139612	-0.326040929642893	0.216794813125232	-0.00225133258062449	0.701202949769481	-0.605177897771467	0.107485604833237	-0.0327206957805555	0.374069223676471	0.267902041445185	1.03498250198011	0.105477221180804	0.0410339329702336	0.0569501331656965	0.0854703132086295	0.197133455464038	0.424195491506707	0.241068803376021
